area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,80.2459723631725
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,62.47156159525289
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,74.32005144065256
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,53.770528496295896
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,74.42244541445798
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,53.71249835005109
Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,185.39682943691733
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,32.31400049822077
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,96.4432531091583
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,394.4520390014858
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,44.61752000711343
Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,56.0649063207282
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,70.9922024997251
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,97.75555119280322
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,102.06598899062463
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,88.1741026376254
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,48.28014537810947
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,219.7187730932749
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,81.95785099578475
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,45.452303620350975
Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,89.06069010401097
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,45.205874749197356
Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,293.33492191776014
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,122.67733043641852
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,95.4398911042305
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1190,2.0,1.0,70.3696681859005
Plot  Area,17-Dec,Hennur Road,3 Bedroom,,700,3.0,1.0,63.266956451367264
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,55.365896486091316
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,37.508997043738866
Plot  Area,Ready To Move,Koramangala,5 Bedroom,,2400,4.0,2.0,249.63499650015416
Plot  Area,19-Dec,Tumkur Road,4 Bedroom,,1200,4.0,2.0,135.09173798726763
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,89.98583663660457
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,70.9922024997251
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1893,4.0,3.0,97.56665445391987
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,43.735834583015425
Super built-up  Area,Ready To Move,Anandapura,2 BHK,,1151,2.0,1.0,44.29977882406706
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,,1560,3.0,2.0,53.20154806422409
Plot  Area,Ready To Move,Anjanapura,5 Bedroom,,600,3.0,2.0,94.60826622779042
Built-up  Area,Ready To Move,Begur Road,2 BHK,,1050,2.0,2.0,49.57446944921123
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1063,2.0,2.0,57.23672367773015
Super built-up  Area,Ready To Move,Binny Pete,3 BHK,Shestlo,2465,5.0,2.0,248.71202367222048
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,55.00000000000002
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,55.824838739217384
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2091,3.0,2.0,89.56437188455254
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1477,2.0,1.0,66.19736938338794
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,143.0409536713004
Super built-up  Area,18-Feb,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,72.75691873087997
Super built-up  Area,Ready To Move,Cox Town,4 BHK,DantsAp,1860,4.0,3.0,108.31778184435758
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1095,2.0,2.0,47.400542743133315
Super built-up  Area,18-Aug,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,72.14491368455657
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1400,3.0,2.0,47.48030667377924
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2400,3.0,2.0,238.49586760103168
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1200,3.0,1.0,132.68440072410974
Built-up  Area,Ready To Move,Garudachar Palya,2 BHK,UnlisAc,1050,2.0,1.0,51.34144518784555
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,1200,2.0,0.0,65.52521781821567
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,53.11272211671283
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1295,2.0,1.0,50.56407980771511
Plot  Area,18-Mar,Gattahalli,3 Bedroom,Miiewa ,2000,2.0,2.0,187.38824440788915
Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1386,3.0,2.0,59.829092027676644
Super built-up  Area,Ready To Move,Vittal Mallya Road,1 BHK,Gantspa,950,1.0,0.0,43.77083984444307
Super built-up  Area,18-Aug,Dasanapura,3 BHK,Tavenew,843,2.0,1.0,52.10973912653859
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,149.10518477336552
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1280,2.0,1.0,47.22645438754165
Super built-up  Area,Ready To Move,Shingapura,2 BHK,,1010,2.0,1.0,47.57932759437608
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,,793,1.0,1.0,37.46121656129307
Built-up  Area,Ready To Move,Brookefield,2 BHK,Bhiya N,1100,2.0,1.0,68.20087813084157
Super built-up  Area,Ready To Move,Brookefield,2 BHK,,1050,2.0,3.0,66.64755974616284
Super built-up  Area,Ready To Move,Sunkadakatte,7 BHK,,40,7.0,1.0,138.936992875375
Built-up  Area,Ready To Move,Basavanapura,2 BHK,,1220,2.0,2.0,51.95496537216758
Super built-up  Area,17-Jun,Electronic City,1 BHK,Prarkun,630,1.0,1.0,42.51025021848313
Super built-up  Area,18-Dec,Raja rajeswarinagar 5th Stage,3 BHK,,1444,3.0,2.0,71.47781793228643
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1710,3.0,2.0,114.5472038366537
Plot  Area,Ready To Move,Seegehalli,4 Bedroom,,800,3.0,1.0,74.7554994297145
Super built-up  Area,18-Dec,Hosur Road,3 BHK,PuendWe,1745,3.0,1.0,106.84374833472833
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870,2.0,0.0,38.717778961915336
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1250,2.0,3.0,52.88958682746054
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1393,3.0,2.0,56.00000000000001
Super built-up  Area,Ready To Move,RMV Extension,2 BHK,S alsPe,1000,2.0,2.0,46.17850514670798
Built-up  Area,Ready To Move,"Sarjapur Road, ",2 BHK,,1371,2.0,1.0,73.9094517079389
Super built-up  Area,19-Dec,Whitefield,3 BHK,Goted U,2140,3.0,2.0,114.13769981980252
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3.0,3.0,58.17231838277176
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,,1580,3.0,1.0,64.0783814511182
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Saaveri,1368,2.0,1.0,59.1854114647246
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.10960530228007
Super built-up  Area,18-Dec,Rachenahalli,2 BHK,Shileve,1171,2.0,2.0,48.577218903017496
Plot  Area,Ready To Move,Jigani,3 Bedroom,,1200,2.0,1.0,83.17365360344668
Plot  Area,Ready To Move,SIPCOT 1,2 Bedroom,,1500,2.0,0.0,113.63004503105043
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,95.44114387314735
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,54.84581615974863
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,,1512,2.0,2.0,80.6322679500907
Super built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Assha A,775,2.0,2.0,34.13573071511062
Plot  Area,18-Apr,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.09970282219496
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1090,2.0,1.0,53.496899054611184
Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,,800,2.0,1.0,45.32432258819176
Plot  Area,Ready To Move,Ejipura,8 Bedroom,,969,5.0,3.0,153.1286244649921
Super built-up  Area,18-Mar,Kothanur,2 BHK,,1095,2.0,2.0,53.79490585955155
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1483,2.0,3.0,55.91844965578132
Super built-up  Area,21-Mar,Yelahanka,2 BHK,Goues A,1252,2.0,2.0,65.28198336640186
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,3375,2.0,1.0,371.0795550301773
Plot  Area,Ready To Move,Kasturi Nagar,6 Bedroom,,2400,6.0,3.0,246.57780115568704
Built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3650,4.0,0.0,215.88075835290024
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vayali ,900,2.0,1.0,38.68236063171791
Plot  Area,Ready To Move,ITPL,4 Bedroom,,2440,5.0,2.0,309.2100023954006
Super built-up  Area,17-Jul,Channasandra,2 BHK,,1010,2.0,2.0,41.78100356437449
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Grure S,1680,3.0,3.0,57.276059688073374
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,2400,3.0,0.0,319.1905086528644
Super built-up  Area,Ready To Move,BSK STAGE 2,3 BHK,,1990,2.0,1.0,181.05662710111847
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,NSnexav,1523,3.0,2.0,75.99480493193084
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,149.10518477336552
Plot  Area,Ready To Move,EPIP Zone,3 Bedroom,,4930,4.0,1.0,442.8229515186762
Plot  Area,Ready To Move,ITI Employees Layout,5 Bedroom,,1200,5.0,3.0,134.0645219136469
Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1195,2.0,2.0,55.6973787708806
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Neisear,1050,2.0,2.0,53.10068519780307
Built-up  Area,Ready To Move,Electronic City,2 BHK,,550,1.0,1.0,22.668209128855796
Built-up  Area,Ready To Move,Devanahalli,1 BHK,Cerdsga,540,1.0,1.0,25.867043588135875
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,1200,4.0,3.0,198.80155756001358
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294,2.0,1.0,98.64493837743696
Built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1345,3.0,2.0,55.25661932007418
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,1.0,46.34746742729025
Plot  Area,Ready To Move,Hoodi,3 Bedroom,,1500,3.0,3.0,112.55269992247902
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Paune F,1560,3.0,2.0,76.99538476950964
Plot  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,780,6.0,3.0,143.64997924828543
Built-up  Area,Ready To Move,Thanisandra,3 BHK,,1565,2.0,2.0,105.38423009472405
Super built-up  Area,15-Oct,Thippasandra main,3 BHK,,1790,3.0,,109.19207211590044
Plot  Area,Immediate Possession,Chikkaballapur,,PrandHo,1200 - 2000,,,70.55581507467737
Super built-up  Area,19-Sep,Kanakpura Road,3 BHK,Soazak ,1594.98,3.0,1.0,118.5772272358554
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,RAncyeg,1055,2.0,1.0,40.498605916478766
Super built-up  Area,18-Dec,Electronics City Phase 1,2 BHK,,1060,2.0,1.0,45.02000350354638
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,32.347638063877774
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,223.11797371337255
Plot  Area,Ready To Move,Muthyala Nagar,4 Bedroom,,1350,4.0,2.0,147.0115310419309
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2280,4.0,2.0,122.67733043641863
Carpet  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1250,2.0,3.0,56.16047290024334
Built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Dhniaad,1016,2.0,1.0,43.0615143163954
Plot  Area,Ready To Move,Jinkethimmanahalli,5 Bedroom,,1230,5.0,1.0,162.89632471417815
Built-up  Area,Ready To Move,TPV Layout,3 BHK,Crior E,1480,3.0,0.0,104.7636735336081
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,736,1.0,0.0,60.87031482257831
Plot  Area,Ready To Move,Esther Enclave Layout,1 Bedroom,,1200,1.0,1.0,41.52351989937233
Plot  Area,17-Jan,Whitefield,4 Bedroom,Ieuseut,1400,4.0,2.0,205.42419193802255
Built-up  Area,Ready To Move,Whitefield,3 BHK,Pae 1ov,1500,2.0,1.0,75.00350050432841
Built-up  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,,1000,3.0,1.0,90.71762139915148
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1717,3.0,3.0,74.85397966770078
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,57.735600456670454
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.09970282219496
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1200,2.0,2.0,52.08169488125503
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Suise S,1130,2.0,1.0,40.666812354818134
Super built-up  Area,Ready To Move,New Thippasandra,3 BHK,,1575,2.0,2.0,76.81223459265398
Super built-up  Area,19-Jun,Yelahanka,3 BHK,Vaaram ,1892 - 2798,3.0,0.0,92.06712927908174
Super built-up  Area,Ready To Move,Mico Layout,3 BHK,Amsomun,1685,3.0,2.0,48.152624867167745
Super built-up  Area,Ready To Move,Kanaka Nagar,2 BHK,,1000,2.0,3.0,33.620475799004836
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1100,2.0,2.0,56.81796894785113
Plot  Area,Ready To Move,Bellandur,3 Bedroom,Vaodssh,2400,3.0,2.0,178.1850591334388
Super built-up  Area,18-Dec,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,70.10244416179032
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,30.18708587810829
Super built-up  Area,Ready To Move,Benson Town,4 BHK,DFityin,2938,6.0,2.0,276.8645180343376
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1908,3.0,2.0,264.9977225562948
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3.0,1.0,119.30398720651084
Built-up  Area,Ready To Move,Banashankari Stage VI,4 BHK,,3150,4.0,0.0,210.54749089000694
Super built-up  Area,Ready To Move,"JP nagar 9th phase , ",3 BHK,,1846,3.0,2.0,106.1102769937685
Built-up  Area,Ready To Move,Hormavu,5 Bedroom,,2000,4.0,2.0,132.82463440393482
Super built-up  Area,18-Mar,BTM Layout,2 BHK,Sudeslv,920,2.0,1.0,41.69932655974827
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Jae 1ke,700,2.0,2.0,53.498472393049276
Super built-up  Area,Ready To Move,Hoodi Layout,3 BHK,SVstos ,1610,3.0,2.0,74.09734500499154
Plot  Area,18-Mar,Lingarajapuram,4 Bedroom,,1200,3.0,1.0,178.14504129456031
Plot  Area,Ready To Move,Whitefield,5 Bedroom,Ske 2ad,3927,5.0,3.0,462.4759028978494
Super built-up  Area,18-Apr,Jalahalli,3 BHK,DSata S,1222,2.0,2.0,80.83711584462849
Super built-up  Area,Ready To Move,Gottigere,2 BHK,DSghtra,900,2.0,1.0,34.95591065791422
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,124.78153507136508
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,1200,2.0,1.0,73.3713062155426
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1080,2.0,0.0,69.09257003506754
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,60.246404107564665
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1530,2.0,2.0,79.48761080196003
Plot  Area,Ready To Move,Vivek Nagar,4 Bedroom,,2025,3.0,0.0,117.08782212469933
Super built-up  Area,Ready To Move,Electronic City,3 BHK,BrnoxEq,1700,3.0,2.0,82.29184774423867
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ariew J,900,2.0,2.0,89.54243051491252
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,650,1.0,2.0,49.36022469474012
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1207,2.0,2.0,43.36927416887097
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,59.138360406721745
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2425,3.0,2.0,148.4300405272818
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1724,3.0,2.0,128.78075430889453
Plot  Area,Ready To Move,Abbigere,4 Bedroom,,1200,4.0,,123.79511856337356
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,1 BHK,Prllsan,648,1.0,0.0,29.208330111860384
Super built-up  Area,18-Oct,Kathriguppe,2 BHK,,1115,2.0,2.0,73.20560089304075
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,2.0,359.67729127373985
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,2600,3.0,,148.0568430754255
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1561,3.0,2.0,99.52506510522579
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1050,2.0,0.0,44.38421658322344
Plot  Area,Ready To Move,R.T. Nagar,7 Bedroom,,2400,8.0,,320.8385641320832
Super built-up  Area,18-Sep,HBR Layout,1 BHK,SLvasNi,534 - 763,1.0,0.0,24.171649121443696
Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,MaaveEn,1150,2.0,2.0,47.67561004214353
Super built-up  Area,Ready To Move,Chikkasanne,3 BHK,Hieryni,1550,3.0,1.0,76.92706151422726
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Patri M,937,2.0,1.0,27.64602591749077
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2340,3.0,2.0,185.41652816388265
Plot  Area,Ready To Move,Electronic City,2 Bedroom,,2100,2.0,2.0,148.28054638830568
Built-up  Area,Ready To Move,Herohalli,1 Bedroom,,600,1.0,0.0,24.271908576707943
Built-up  Area,Ready To Move,Harlur,5 Bedroom,Shodsir,3600,5.0,3.0,162.7222770965662
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Puinaia,1935,2.0,1.0,162.2882382728419
Super built-up  Area,18-May,Haralur Road,4 BHK,SNnia E,3210,6.0,,219.9362838699109
Super built-up  Area,18-Mar,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,53.20840070123844
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,Kaamai ,985,1.0,2.0,85.57107799472259
Super built-up  Area,Ready To Move,Gottigere,3 BHK,KSicaxo,1500,3.0,2.0,61.26261694445037
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,2.0,41.64787563527609
Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1545,3.0,2.0,71.36612476430933
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1490,2.0,2.0,61.09513931614511
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2.0,1.0,53.516493127602224
Plot  Area,Ready To Move,Vijaya Bank Layout,5 Bedroom,,2400,5.0,1.0,363.67203313765225
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2.0,2.0,75.56521441904756
Super built-up  Area,18-Aug,1st Phase JP Nagar,2 BHK,,1080,2.0,2.0,87.90309107709149
Super built-up  Area,Ready To Move,Chokkanahalli,3 BHK,DSineSu,1350,2.0,2.0,78.18457955757792
Built-up  Area,Ready To Move,Bellandur,2 BHK,Kritel ,1300,2.0,1.0,62.59330137431863
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Cooutid,1800,2.0,3.0,71.12739474923275
Super built-up  Area,18-Feb,Uttarahalli,2 BHK,DSera S,1068,2.0,1.0,43.66395427693272
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1170,2.0,2.0,53.40944593713089
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,OmentCl,1200,2.0,3.0,56.36283012013611
Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,,800,3.0,2.0,78.96162227845322
Super built-up  Area,Ready To Move,Arekere,3 BHK,,1809,2.0,3.0,107.32099878602402
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1615,3.0,2.0,97.68751591577735
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3.0,2.0,81.02178518876325
Super built-up  Area,18-Jun,Kogilu,3 BHK,Leora E,2215,5.0,1.0,190.86851152818193
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1999,3.0,2.0,116.33894588853884
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,,43.602463576071244
Plot  Area,19-Dec,Kasavanhalli,4 Bedroom,,4395,4.0,2.0,416.05079700537516
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1611,2.0,2.0,47.48030667377924
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1160,2.0,2.0,75.81139654878153
Super built-up  Area,18-Apr,Attibele,2 BHK,,1150,2.0,2.0,26.64385364351897
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1260,2.0,1.0,59.138360406721745
Super built-up  Area,Ready To Move,Whitefield,3 BHK,TZllaes,2750,3.0,3.0,101.12837813566053
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,,1196,2.0,1.0,32.21353157114594
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,124.78153507136508
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2555,3.0,2.0,154.55338688141362
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535,2.0,2.0,80.03076281602563
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Vangsld,1299,2.0,1.0,72.58734770253774
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257,2.0,1.0,64.71031311872521
Super built-up  Area,21-Dec,Whitefield,3 BHK,SudenEd,1498 - 1523,3.0,0.0,82.29884605963649
Super built-up  Area,19-Dec,"J.P.Nagar 6th Phase , sarakki nagar",3 BHK,,1750,3.0,2.0,156.4592926725366
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,1.0,59.64227168758417
Super built-up  Area,18-Mar,Raja Rajashware nagar,3 BHK,,1400,2.0,1.0,57.207205265120685
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,,1950,3.0,3.0,88.46604451093793
