area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,33.128261792454275
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,125.71060497501082
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,43.35056387077909
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,51.9323554486057
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,127.92947539175228
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,84.35293142876925
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,124.26820951381534
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,86.69880176864501
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,61.73019823535275
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,88.20860154358311
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,52.514451517644616
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,85.15817139706218
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,53.7151167766147
Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,224.77798663158651
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,35.34962956252595
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,103.65040643557401
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,379.4127752037335
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,44.05522640480259
Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,56.77336429911219
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,75.34395921175535
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,105.48571766054177
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,94.58605372873971
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,87.48551466079539
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,55.97179245893096
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,194.50941321624063
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,79.13230102749796
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,45.34309916867565
Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,68.22926014613266
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,45.850509759797696
Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,302.2957668137496
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,126.93778518867319
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,92.55045198419916
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1190,2.0,1.0,70.17108540349066
Plot  Area,17-Dec,Hennur Road,3 Bedroom,,700,3.0,1.0,71.21041884119538
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,54.79660307987835
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,36.78745716593314
Plot  Area,Ready To Move,Koramangala,5 Bedroom,,2400,4.0,2.0,296.4316488533864
Plot  Area,19-Dec,Tumkur Road,4 Bedroom,,1200,4.0,2.0,158.2762286043738
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,91.6560190976315
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,75.34395921175528
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1893,4.0,3.0,103.5491139329786
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,43.947549479697564
Super built-up  Area,Ready To Move,Anandapura,2 BHK,,1151,2.0,1.0,46.11541102418316
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,,1560,3.0,2.0,51.33627461769996
Plot  Area,Ready To Move,Anjanapura,5 Bedroom,,600,3.0,2.0,92.06646505288923
Built-up  Area,Ready To Move,Begur Road,2 BHK,,1050,2.0,2.0,56.69903601855929
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1063,2.0,2.0,68.81676390906547
Super built-up  Area,Ready To Move,Binny Pete,3 BHK,Shestlo,2465,5.0,2.0,218.0786612983096
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,58.73416612809829
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,55.534859956232744
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2091,3.0,2.0,106.54246969917986
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1477,2.0,1.0,57.22474015085561
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,105.13626018852064
Super built-up  Area,18-Feb,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,87.7130223256422
Super built-up  Area,Ready To Move,Cox Town,4 BHK,DantsAp,1860,4.0,3.0,107.24279748847428
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1095,2.0,2.0,51.0495202897095
Super built-up  Area,18-Aug,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,62.88975296927044
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1400,3.0,2.0,51.8177175627799
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2400,3.0,2.0,204.54717189276246
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1200,3.0,1.0,105.96909125014932
Built-up  Area,Ready To Move,Garudachar Palya,2 BHK,UnlisAc,1050,2.0,1.0,54.25191481029684
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,1200,2.0,0.0,67.6474346972582
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,52.50196189041618
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1295,2.0,1.0,47.24337862235294
Plot  Area,18-Mar,Gattahalli,3 Bedroom,Miiewa ,2000,2.0,2.0,203.86961719131392
Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1386,3.0,2.0,69.06686072634383
Super built-up  Area,Ready To Move,Vittal Mallya Road,1 BHK,Gantspa,950,1.0,0.0,42.99562648178378
Super built-up  Area,18-Aug,Dasanapura,3 BHK,Tavenew,843,2.0,1.0,41.91761398372174
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,130.78691272553783
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1280,2.0,1.0,57.76444280696117
Super built-up  Area,Ready To Move,Shingapura,2 BHK,,1010,2.0,1.0,46.22694491403187
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,,793,1.0,1.0,39.04578756891468
Built-up  Area,Ready To Move,Brookefield,2 BHK,Bhiya N,1100,2.0,1.0,64.86382534526213
Super built-up  Area,Ready To Move,Brookefield,2 BHK,,1050,2.0,3.0,65.18151296229948
Super built-up  Area,Ready To Move,Sunkadakatte,7 BHK,,40,7.0,1.0,110.7148185668138
Built-up  Area,Ready To Move,Basavanapura,2 BHK,,1220,2.0,2.0,58.46060266337241
Super built-up  Area,17-Jun,Electronic City,1 BHK,Prarkun,630,1.0,1.0,35.833389037006484
Super built-up  Area,18-Dec,Raja rajeswarinagar 5th Stage,3 BHK,,1444,3.0,2.0,64.01027689801013
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1710,3.0,2.0,122.07510770642655
Plot  Area,Ready To Move,Seegehalli,4 Bedroom,,800,3.0,1.0,88.054187543627
Super built-up  Area,18-Dec,Hosur Road,3 BHK,PuendWe,1745,3.0,1.0,97.93924505361781
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870,2.0,0.0,38.31040659908158
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1250,2.0,3.0,52.39836884797501
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1393,3.0,2.0,70.59775258572358
Super built-up  Area,Ready To Move,RMV Extension,2 BHK,S alsPe,1000,2.0,2.0,50.28538532462994
Built-up  Area,Ready To Move,"Sarjapur Road, ",2 BHK,,1371,2.0,1.0,74.19508686842164
Super built-up  Area,19-Dec,Whitefield,3 BHK,Goted U,2140,3.0,2.0,117.13868775837017
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3.0,3.0,58.23147335230442
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,,1580,3.0,1.0,53.69121875654072
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Saaveri,1368,2.0,1.0,65.72066927002713
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.3844480629467
Super built-up  Area,18-Dec,Rachenahalli,2 BHK,Shileve,1171,2.0,2.0,50.506477434564296
Plot  Area,Ready To Move,Jigani,3 Bedroom,,1200,2.0,1.0,87.62897370519823
Plot  Area,Ready To Move,SIPCOT 1,2 Bedroom,,1500,2.0,0.0,88.72133683895588
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,93.38439940993598
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,54.717184284444905
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,,1512,2.0,2.0,75.11695615391542
Super built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Assha A,775,2.0,2.0,35.52425482323761
Plot  Area,18-Apr,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.05537215285608
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1090,2.0,1.0,53.0974446815691
Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,,800,2.0,1.0,41.68929346076878
Plot  Area,Ready To Move,Ejipura,8 Bedroom,,969,5.0,3.0,160.00971078389279
Super built-up  Area,18-Mar,Kothanur,2 BHK,,1095,2.0,2.0,54.43421835320305
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1483,2.0,3.0,67.38553685932567
Super built-up  Area,21-Mar,Yelahanka,2 BHK,Goues A,1252,2.0,2.0,61.02868065281055
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,3375,2.0,1.0,350.8139442774784
Plot  Area,Ready To Move,Kasturi Nagar,6 Bedroom,,2400,6.0,3.0,223.1339957134641
Built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3650,4.0,0.0,237.85778726703836
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vayali ,900,2.0,1.0,40.34381205284568
Plot  Area,Ready To Move,ITPL,4 Bedroom,,2440,5.0,2.0,309.1505106155771
Super built-up  Area,17-Jul,Channasandra,2 BHK,,1010,2.0,2.0,38.689018314973666
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Grure S,1680,3.0,3.0,64.19238651095617
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,2400,3.0,0.0,226.48674568376813
Super built-up  Area,Ready To Move,BSK STAGE 2,3 BHK,,1990,2.0,1.0,138.13586936759773
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,NSnexav,1523,3.0,2.0,84.23477249140936
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,130.78691272553783
Plot  Area,Ready To Move,EPIP Zone,3 Bedroom,,4930,4.0,1.0,524.2710828452726
Plot  Area,Ready To Move,ITI Employees Layout,5 Bedroom,,1200,5.0,3.0,122.32145381280971
Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1195,2.0,2.0,48.48606933176158
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Neisear,1050,2.0,2.0,56.95173593385106
Built-up  Area,Ready To Move,Electronic City,2 BHK,,550,1.0,1.0,25.23089340115126
Built-up  Area,Ready To Move,Devanahalli,1 BHK,Cerdsga,540,1.0,1.0,22.798817767017827
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,1200,4.0,3.0,205.16964047518584
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294,2.0,1.0,88.93152295051257
Built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1345,3.0,2.0,58.85625096795886
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,1.0,45.32531941336507
Plot  Area,Ready To Move,Hoodi,3 Bedroom,,1500,3.0,3.0,112.0960946136484
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Paune F,1560,3.0,2.0,76.36314505522319
Plot  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,780,6.0,3.0,134.08477327529252
Built-up  Area,Ready To Move,Thanisandra,3 BHK,,1565,2.0,2.0,90.09771982670509
Super built-up  Area,15-Oct,Thippasandra main,3 BHK,,1790,3.0,,122.93442692138174
Plot  Area,Immediate Possession,Chikkaballapur,,PrandHo,1200 - 2000,,,83.05261088301373
Super built-up  Area,19-Sep,Kanakpura Road,3 BHK,Soazak ,1594.98,3.0,1.0,98.48668925865967
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,RAncyeg,1055,2.0,1.0,45.99762191168799
Super built-up  Area,18-Dec,Electronics City Phase 1,2 BHK,,1060,2.0,1.0,48.92133935437716
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,37.388674983848134
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,241.29984769166575
Plot  Area,Ready To Move,Muthyala Nagar,4 Bedroom,,1350,4.0,2.0,132.11573733318448
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2280,4.0,2.0,126.93778518867319
Carpet  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1250,2.0,3.0,63.25334203804768
Built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Dhniaad,1016,2.0,1.0,42.686759761677614
Plot  Area,Ready To Move,Jinkethimmanahalli,5 Bedroom,,1230,5.0,1.0,170.42392075686803
Built-up  Area,Ready To Move,TPV Layout,3 BHK,Crior E,1480,3.0,0.0,93.57622398646215
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,736,1.0,0.0,71.1113275068989
Plot  Area,Ready To Move,Esther Enclave Layout,1 Bedroom,,1200,1.0,1.0,41.871544845514556
Plot  Area,17-Jan,Whitefield,4 Bedroom,Ieuseut,1400,4.0,2.0,121.02008325099146
Built-up  Area,Ready To Move,Whitefield,3 BHK,Pae 1ov,1500,2.0,1.0,70.94870991321245
Built-up  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,,1000,3.0,1.0,72.83652772179722
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1717,3.0,3.0,69.24840005832431
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,56.49674231389319
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.05537215285608
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1200,2.0,2.0,48.08691818590118
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Suise S,1130,2.0,1.0,43.40065085251127
Super built-up  Area,Ready To Move,New Thippasandra,3 BHK,,1575,2.0,2.0,82.33777616901588
Super built-up  Area,19-Jun,Yelahanka,3 BHK,Vaaram ,1892 - 2798,3.0,0.0,96.26703456902086
Super built-up  Area,Ready To Move,Mico Layout,3 BHK,Amsomun,1685,3.0,2.0,51.5018461767766
Super built-up  Area,Ready To Move,Kanaka Nagar,2 BHK,,1000,2.0,3.0,38.7368218228146
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1100,2.0,2.0,61.63122092785911
Plot  Area,Ready To Move,Bellandur,3 Bedroom,Vaodssh,2400,3.0,2.0,167.48880887043313
Super built-up  Area,18-Dec,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,72.13786817890717
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,33.15444282808451
Super built-up  Area,Ready To Move,Benson Town,4 BHK,DFityin,2938,6.0,2.0,263.2463129505608
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1908,3.0,2.0,192.63454186782994
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3.0,1.0,120.65029452634334
Built-up  Area,Ready To Move,Banashankari Stage VI,4 BHK,,3150,4.0,0.0,176.10637303218581
Super built-up  Area,Ready To Move,"JP nagar 9th phase , ",3 BHK,,1846,3.0,2.0,115.4923443169888
Built-up  Area,Ready To Move,Hormavu,5 Bedroom,,2000,4.0,2.0,110.51376129350048
Super built-up  Area,18-Mar,BTM Layout,2 BHK,Sudeslv,920,2.0,1.0,41.07153721930136
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Jae 1ke,700,2.0,2.0,57.551500026351135
Super built-up  Area,Ready To Move,Hoodi Layout,3 BHK,SVstos ,1610,3.0,2.0,75.27017757061184
Plot  Area,18-Mar,Lingarajapuram,4 Bedroom,,1200,3.0,1.0,161.80704735350068
Plot  Area,Ready To Move,Whitefield,5 Bedroom,Ske 2ad,3927,5.0,3.0,423.0964239199116
Super built-up  Area,18-Apr,Jalahalli,3 BHK,DSata S,1222,2.0,2.0,90.15620721456222
Super built-up  Area,Ready To Move,Gottigere,2 BHK,DSghtra,900,2.0,1.0,43.46653939126929
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,128.99166100031727
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,1200,2.0,1.0,72.41236405710481
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1080,2.0,0.0,62.368641320953365
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,62.69399291048438
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1530,2.0,2.0,73.62655245157295
Plot  Area,Ready To Move,Vivek Nagar,4 Bedroom,,2025,3.0,0.0,197.4657511848858
Super built-up  Area,Ready To Move,Electronic City,3 BHK,BrnoxEq,1700,3.0,2.0,90.31071410898016
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ariew J,900,2.0,2.0,98.14289361968369
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,650,1.0,2.0,52.32344843436721
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1207,2.0,2.0,43.213639247952266
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,63.86338189475005
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2425,3.0,2.0,122.26543230353558
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1724,3.0,2.0,113.58153114291781
Plot  Area,Ready To Move,Abbigere,4 Bedroom,,1200,4.0,,150.5462953897055
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,1 BHK,Prllsan,648,1.0,0.0,28.387400023021833
Super built-up  Area,18-Oct,Kathriguppe,2 BHK,,1115,2.0,2.0,74.06618456029813
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,2.0,344.13755422421355
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,2600,3.0,,178.7787402802854
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1561,3.0,2.0,88.6246525216463
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1050,2.0,0.0,45.35918880421094
Plot  Area,Ready To Move,R.T. Nagar,7 Bedroom,,2400,8.0,,249.4729596161459
Super built-up  Area,18-Sep,HBR Layout,1 BHK,SLvasNi,534 - 763,1.0,0.0,26.791034937385277
Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,MaaveEn,1150,2.0,2.0,52.51743570365928
Super built-up  Area,Ready To Move,Chikkasanne,3 BHK,Hieryni,1550,3.0,1.0,88.69580416025742
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Patri M,937,2.0,1.0,34.440837387572984
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2340,3.0,2.0,222.18885743370004
Plot  Area,Ready To Move,Electronic City,2 Bedroom,,2100,2.0,2.0,97.1158789140775
Built-up  Area,Ready To Move,Herohalli,1 Bedroom,,600,1.0,0.0,26.343913905017466
Built-up  Area,Ready To Move,Harlur,5 Bedroom,Shodsir,3600,5.0,3.0,168.5519733673927
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Puinaia,1935,2.0,1.0,138.13586936759773
Super built-up  Area,18-May,Haralur Road,4 BHK,SNnia E,3210,6.0,,208.75341871214385
Super built-up  Area,18-Mar,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,45.21398191747288
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,Kaamai ,985,1.0,2.0,63.50231136721008
Super built-up  Area,Ready To Move,Gottigere,3 BHK,KSicaxo,1500,3.0,2.0,61.030414643299615
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,2.0,42.23081496948685
Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1545,3.0,2.0,95.41028778537209
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1490,2.0,2.0,59.642711343081885
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2.0,1.0,56.29487325886226
Plot  Area,Ready To Move,Vijaya Bank Layout,5 Bedroom,,2400,5.0,1.0,389.99582885589643
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2.0,2.0,68.40139133187051
Super built-up  Area,18-Aug,1st Phase JP Nagar,2 BHK,,1080,2.0,2.0,92.2649398068173
Super built-up  Area,Ready To Move,Chokkanahalli,3 BHK,DSineSu,1350,2.0,2.0,77.05262227866628
Built-up  Area,Ready To Move,Bellandur,2 BHK,Kritel ,1300,2.0,1.0,60.53789731136597
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Cooutid,1800,2.0,3.0,86.91675733677492
Super built-up  Area,18-Feb,Uttarahalli,2 BHK,DSera S,1068,2.0,1.0,43.08975225480818
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1170,2.0,2.0,55.071521508545786
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,OmentCl,1200,2.0,3.0,58.63125303067861
Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,,800,3.0,2.0,75.83832570426804
Super built-up  Area,Ready To Move,Arekere,3 BHK,,1809,2.0,3.0,105.43950385708649
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1615,3.0,2.0,92.35399041479931
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3.0,2.0,83.20424243358748
Super built-up  Area,18-Jun,Kogilu,3 BHK,Leora E,2215,5.0,1.0,193.1080271361306
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1999,3.0,2.0,86.14910548995321
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,,45.17650549369268
Plot  Area,19-Dec,Kasavanhalli,4 Bedroom,,4395,4.0,2.0,377.04497560093864
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1611,2.0,2.0,46.76166819708544
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1160,2.0,2.0,67.8750329435675
Super built-up  Area,18-Apr,Attibele,2 BHK,,1150,2.0,2.0,27.298758942049773
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1260,2.0,1.0,63.86338189475005
Super built-up  Area,Ready To Move,Whitefield,3 BHK,TZllaes,2750,3.0,3.0,103.91268383487815
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,,1196,2.0,1.0,34.2375182285057
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,128.99166100031727
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2555,3.0,2.0,148.42336328207583
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535,2.0,2.0,75.7599852358264
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Vangsld,1299,2.0,1.0,72.71403214540946
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257,2.0,1.0,72.8497196495871
Super built-up  Area,21-Dec,Whitefield,3 BHK,SudenEd,1498 - 1523,3.0,0.0,80.15076066842856
Super built-up  Area,19-Dec,"J.P.Nagar 6th Phase , sarakki nagar",3 BHK,,1750,3.0,2.0,127.7117430923407
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,1.0,51.63886193799453
Super built-up  Area,18-Mar,Raja Rajashware nagar,3 BHK,,1400,2.0,1.0,62.88179791137466
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,,1950,3.0,3.0,102.73651144779176
