area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,,800,2.0,1.0,40.66693460096781
Plot  Area,Ready To Move,Ejipura,8 Bedroom,,969,5.0,3.0,156.7226235433672
Super built-up  Area,18-Mar,Kothanur,2 BHK,,1095,2.0,2.0,54.58884120598625
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1483,2.0,3.0,67.44673612756954
Super built-up  Area,21-Mar,Yelahanka,2 BHK,Goues A,1252,2.0,2.0,63.088946781835006
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,3375,2.0,1.0,328.1922493869819
Plot  Area,Ready To Move,Kasturi Nagar,6 Bedroom,,2400,6.0,3.0,217.78030676335834
Built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3650,4.0,0.0,227.1514110059532
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vayali ,900,2.0,1.0,45.90344599676296
Plot  Area,Ready To Move,ITPL,4 Bedroom,,2440,5.0,2.0,299.4872812891365
Super built-up  Area,17-Jul,Channasandra,2 BHK,,1010,2.0,2.0,38.30371223241568
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Grure S,1680,3.0,3.0,68.90436922271802
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,2400,3.0,0.0,236.56978234391545
Super built-up  Area,Ready To Move,BSK STAGE 2,3 BHK,,1990,2.0,1.0,132.3519389072982
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,NSnexav,1523,3.0,2.0,82.35903199963745
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,129.55790735744637
Plot  Area,Ready To Move,EPIP Zone,3 Bedroom,,4930,4.0,1.0,550.2366686992705
Plot  Area,Ready To Move,ITI Employees Layout,5 Bedroom,,1200,5.0,3.0,144.07487519758354
Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1195,2.0,2.0,50.305095246933625
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Neisear,1050,2.0,2.0,56.215911674061815
Built-up  Area,Ready To Move,Electronic City,2 BHK,,550,1.0,1.0,25.495466720822545
Built-up  Area,Ready To Move,Devanahalli,1 BHK,Cerdsga,540,1.0,1.0,23.010277527888494
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,1200,4.0,3.0,194.47029989290323
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294,2.0,1.0,90.67763536682762
Built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1345,3.0,2.0,60.05635117694456
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,1.0,47.676342633290304
Plot  Area,Ready To Move,Hoodi,3 Bedroom,,1500,3.0,3.0,110.34428860589492
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Paune F,1560,3.0,2.0,77.1862799720651
Plot  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,780,6.0,3.0,130.21331138321509
Built-up  Area,Ready To Move,Thanisandra,3 BHK,,1565,2.0,2.0,90.08794312377853
Super built-up  Area,15-Oct,Thippasandra main,3 BHK,,1790,3.0,,126.9889209601677
Plot  Area,Immediate Possession,Chikkaballapur,,PrandHo,1200 - 2000,,,88.69715637335018
Super built-up  Area,19-Sep,Kanakpura Road,3 BHK,Soazak ,1594.98,3.0,1.0,95.05020247544897
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,RAncyeg,1055,2.0,1.0,45.581679222444095
Super built-up  Area,18-Dec,Electronics City Phase 1,2 BHK,,1060,2.0,1.0,47.04027640349764
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,37.247493766612656
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,248.97733077307097
Plot  Area,Ready To Move,Muthyala Nagar,4 Bedroom,,1350,4.0,2.0,145.6686091174618
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2280,4.0,2.0,137.41067202568925
Carpet  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1250,2.0,3.0,62.70761556938118
Built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Dhniaad,1016,2.0,1.0,41.13796718846875
Plot  Area,Ready To Move,Jinkethimmanahalli,5 Bedroom,,1230,5.0,1.0,187.8347578674201
Built-up  Area,Ready To Move,TPV Layout,3 BHK,Crior E,1480,3.0,0.0,95.10280667189666
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,736,1.0,0.0,69.1535230004207
Plot  Area,Ready To Move,Esther Enclave Layout,1 Bedroom,,1200,1.0,1.0,44.39767162864083
Plot  Area,17-Jan,Whitefield,4 Bedroom,Ieuseut,1400,4.0,2.0,112.11697644319524
Built-up  Area,Ready To Move,Whitefield,3 BHK,Pae 1ov,1500,2.0,1.0,69.7707329611631
Built-up  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,,1000,3.0,1.0,74.39599515245034
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1717,3.0,3.0,72.12935173602955
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,54.850332183559374
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.04983287888993
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1200,2.0,2.0,49.932503644124274
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Suise S,1130,2.0,1.0,43.65398153775103
Super built-up  Area,Ready To Move,New Thippasandra,3 BHK,,1575,2.0,2.0,78.69936752611554
Super built-up  Area,19-Jun,Yelahanka,3 BHK,Vaaram ,1892 - 2798,3.0,0.0,93.79114846649396
Super built-up  Area,Ready To Move,Mico Layout,3 BHK,Amsomun,1685,3.0,2.0,54.15780343609043
Super built-up  Area,Ready To Move,Kanaka Nagar,2 BHK,,1000,2.0,3.0,44.351582186168265
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1100,2.0,2.0,65.3199344019004
Plot  Area,Ready To Move,Bellandur,3 Bedroom,Vaodssh,2400,3.0,2.0,164.5144309828291
Super built-up  Area,18-Dec,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,74.15453480787312
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,32.235316525577815
Super built-up  Area,Ready To Move,Benson Town,4 BHK,DFityin,2938,6.0,2.0,259.7169342416622
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1908,3.0,2.0,183.74091322659294
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3.0,1.0,121.92358708804625
Built-up  Area,Ready To Move,Banashankari Stage VI,4 BHK,,3150,4.0,0.0,187.19111110227544
Super built-up  Area,Ready To Move,"JP nagar 9th phase , ",3 BHK,,1846,3.0,2.0,121.3970592373517
Built-up  Area,Ready To Move,Hormavu,5 Bedroom,,2000,4.0,2.0,108.26970166386441
Super built-up  Area,18-Mar,BTM Layout,2 BHK,Sudeslv,920,2.0,1.0,41.540180508006685
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Jae 1ke,700,2.0,2.0,55.77159144162738
Super built-up  Area,Ready To Move,Hoodi Layout,3 BHK,SVstos ,1610,3.0,2.0,79.57061429956013
Plot  Area,18-Mar,Lingarajapuram,4 Bedroom,,1200,3.0,1.0,155.68888060346794
Plot  Area,Ready To Move,Whitefield,5 Bedroom,Ske 2ad,3927,5.0,3.0,434.3447477494186
Super built-up  Area,18-Apr,Jalahalli,3 BHK,DSata S,1222,2.0,2.0,90.11550480676357
Super built-up  Area,Ready To Move,Gottigere,2 BHK,DSghtra,900,2.0,1.0,44.080322701397186
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,126.24562924207741
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,1200,2.0,1.0,69.78631531058417
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1080,2.0,0.0,63.27161931294056
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,61.37406777996628
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1530,2.0,2.0,70.28501425942606
Plot  Area,Ready To Move,Vivek Nagar,4 Bedroom,,2025,3.0,0.0,186.26185145569633
Super built-up  Area,Ready To Move,Electronic City,3 BHK,BrnoxEq,1700,3.0,2.0,90.17878826452477
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ariew J,900,2.0,2.0,103.386957582276
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,650,1.0,2.0,51.426112625904395
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1207,2.0,2.0,42.89621413589795
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,66.8003236518593
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2425,3.0,2.0,121.51886693673367
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1724,3.0,2.0,109.08352134847391
Plot  Area,Ready To Move,Abbigere,4 Bedroom,,1200,4.0,,157.93874319911635
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,1 BHK,Prllsan,648,1.0,0.0,27.39317604472962
Super built-up  Area,18-Oct,Kathriguppe,2 BHK,,1115,2.0,2.0,74.449630875689
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,2.0,364.42404151343925
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,2600,3.0,,186.31020051218863
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1561,3.0,2.0,89.60363718502087
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1050,2.0,0.0,45.221442670758165
Plot  Area,Ready To Move,R.T. Nagar,7 Bedroom,,2400,8.0,,236.31219062245216
Super built-up  Area,18-Sep,HBR Layout,1 BHK,SLvasNi,534 - 763,1.0,0.0,28.296540461948382
Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,MaaveEn,1150,2.0,2.0,52.54562522150016
Super built-up  Area,Ready To Move,Chikkasanne,3 BHK,Hieryni,1550,3.0,1.0,89.30712957217824
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Patri M,937,2.0,1.0,34.75861982195846
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2340,3.0,2.0,221.0438986741259
Plot  Area,Ready To Move,Electronic City,2 Bedroom,,2100,2.0,2.0,101.43846531548324
Built-up  Area,Ready To Move,Herohalli,1 Bedroom,,600,1.0,0.0,26.309326301123868
Built-up  Area,Ready To Move,Harlur,5 Bedroom,Shodsir,3600,5.0,3.0,166.5985506440416
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Puinaia,1935,2.0,1.0,132.3519389072982
Super built-up  Area,18-May,Haralur Road,4 BHK,SNnia E,3210,6.0,,197.19506630745136
Super built-up  Area,18-Mar,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,46.35668045986614
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,Kaamai ,985,1.0,2.0,62.59698868803291
Super built-up  Area,Ready To Move,Gottigere,3 BHK,KSicaxo,1500,3.0,2.0,59.203258624202775
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,2.0,43.07966469884244
Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1545,3.0,2.0,101.09645255613648
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1490,2.0,2.0,58.42151474972367
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2.0,1.0,57.111030946312475
Plot  Area,Ready To Move,Vijaya Bank Layout,5 Bedroom,,2400,5.0,1.0,353.3155375067897
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2.0,2.0,68.44114954802687
Super built-up  Area,18-Aug,1st Phase JP Nagar,2 BHK,,1080,2.0,2.0,88.38806916151961
Super built-up  Area,Ready To Move,Chokkanahalli,3 BHK,DSineSu,1350,2.0,2.0,74.50358122013147
Built-up  Area,Ready To Move,Bellandur,2 BHK,Kritel ,1300,2.0,1.0,63.6636961173695
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Cooutid,1800,2.0,3.0,90.83714755806722
Super built-up  Area,18-Feb,Uttarahalli,2 BHK,DSera S,1068,2.0,1.0,43.27715173881157
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1170,2.0,2.0,58.230483830534396
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,OmentCl,1200,2.0,3.0,59.23944130180234
Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,,800,3.0,2.0,77.96820042308113
Super built-up  Area,Ready To Move,Arekere,3 BHK,,1809,2.0,3.0,114.2613647858734
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1615,3.0,2.0,92.01304213481188
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3.0,2.0,86.31304065821371
Super built-up  Area,18-Jun,Kogilu,3 BHK,Leora E,2215,5.0,1.0,199.69477921449882
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1999,3.0,2.0,82.81501780265002
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,,46.85566448234352
Plot  Area,19-Dec,Kasavanhalli,4 Bedroom,,4395,4.0,2.0,372.0541905209786
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1611,2.0,2.0,49.0325799150064
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1160,2.0,2.0,64.70561478340295
Super built-up  Area,18-Apr,Attibele,2 BHK,,1150,2.0,2.0,28.707522444371214
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1260,2.0,1.0,66.8003236518593
Super built-up  Area,Ready To Move,Whitefield,3 BHK,TZllaes,2750,3.0,3.0,101.84780860197353
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,,1196,2.0,1.0,37.992578541749104
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,126.24562924207741
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2555,3.0,2.0,147.34678435049778
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535,2.0,2.0,76.90411439825816
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Vangsld,1299,2.0,1.0,69.94569368163678
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257,2.0,1.0,74.24072411481238
Super built-up  Area,21-Dec,Whitefield,3 BHK,SudenEd,1498 - 1523,3.0,0.0,82.9703846968097
Super built-up  Area,19-Dec,"J.P.Nagar 6th Phase , sarakki nagar",3 BHK,,1750,3.0,2.0,121.88517563632416
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,1.0,50.888644579831606
Super built-up  Area,18-Mar,Raja Rajashware nagar,3 BHK,,1400,2.0,1.0,62.37596988311762
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,,1950,3.0,3.0,102.96066805983608
